date,M0_YoY,M1_YoY,M2_YoY,CPI_YoY,PPI_YoY,PMI,M1_M2_scissors,M1_YoY_roll_mean,M1_YoY_roll_std,M2_YoY_roll_mean,M2_YoY_roll_std,M1_M2_scissors_roll_mean,M1_M2_scissors_roll_std,PPI_YoY_roll_mean,PPI_YoY_roll_std,CPI_YoY_roll_mean,CPI_YoY_roll_std
2012-11-30,10.7,5.5,13.9,2.0,-2.1995,50.6,-8.4,15.8575,10.756484655446554,17.156666666666666,4.610141615426326,-1.2991666666666666,6.568371998774558,3.3987944444444445,3.775105921385852,3.733933333333333,1.5619951401058465
2012-12-31,7.7,6.5,13.8,2.5,-1.9397,50.6,-7.300000000000001,15.048333333333334,10.39349892961942,16.716666666666665,4.102839434900099,-1.6683333333333332,6.584034151968358,3.395475,3.7801102802034734,3.773933333333333,1.4954128012979264
2013-01-31,4.4,15.3,15.9,2.0,-1.6372,50.4,-0.5999999999999996,14.330277777777777,10.051344326893682,16.331111111111113,3.6727800119082743,-2.0008333333333335,6.5569894550994725,3.294372222222222,3.8742544115599906,3.791825,1.4755300342346709
2013-02-28,17.2,9.5,15.2,3.2,-1.6254,50.1,-5.699999999999999,13.673055555555557,9.12578851996424,16.051111111111112,3.2793220360118553,-2.3780555555555556,6.040832875142036,3.1288944444444446,3.9555651993430665,3.804880555555555,1.4569072845918585
2013-03-31,12.4,11.9,15.7,2.1,-1.919,50.9,-3.799999999999999,12.965,8.383239230750846,15.764444444444443,2.851037349501737,-2.7994444444444446,5.7108282834051005,2.9340222222222225,4.013373971974281,3.8189,1.448328052026098
2013-04-30,10.8,11.9,16.1,2.4,-2.6175,50.6,-4.200000000000001,12.463888888888889,7.8625660216270665,15.575555555555557,2.6068398432304747,-3.111666666666667,5.435649783735937,2.71655,4.059358722367011,3.8113805555555555,1.4567399373394276
2013-05-31,10.8,11.3,15.8,2.0981,-2.8658,50.8,-4.5,11.926388888888889,7.172760836377653,15.426111111111112,2.4050842311091882,-3.499722222222222,4.968317039637182,2.454675,4.091701333980766,3.7998916666666664,1.4664327056548767
2013-06-30,9.9,9.1,14.0,2.7,-2.6965,50.1,-4.9,11.409722222222221,6.477276979062427,15.281666666666666,2.2089137601997764,-3.871944444444444,4.491915798374064,2.1770138888888884,4.104506369008353,3.773136111111111,1.488908296927224
2013-07-31,9.5,9.7,14.5,2.7,-2.2712,50.3,-4.800000000000001,10.979166666666666,6.078314792299404,15.156666666666666,2.148075550679837,-4.1775,4.1557597723778805,1.9240555555555554,4.116772105177579,3.7661944444444444,1.4934317697254846
2013-08-31,9.3,9.9,14.7,2.6,-1.625,51.0,-4.799999999999999,10.612499999999999,5.726621729132408,15.070555555555554,2.109112127947179,-4.458055555555556,3.8254514724740574,1.726522222222222,4.143380876055624,3.7494111111111112,1.502141680739826
2013-09-30,5.7,8.9,14.2,3.1,-1.3439,51.1,-5.299999999999999,10.279166666666667,5.390194470385225,14.945555555555554,1.987208299448433,-4.666388888888888,3.6233742386090673,1.5613833333333333,4.155516132529661,3.7249833333333333,1.5137634758631016
2013-10-31,8.0,8.9,14.3,3.2,-1.5071,51.4,-5.4,9.945833333333333,5.076547969409361,14.81222222222222,1.864650271477346,-4.866388888888888,3.444886191591217,1.403775,4.15510763328873,3.7109388888888883,1.5172441751464625
2013-11-30,7.7,9.4,14.2,3.0,-1.4242,51.4,-4.799999999999999,9.579166666666667,4.630726184951992,14.673333333333334,1.6997478804642645,-5.094166666666667,3.1847712409438174,1.221911111111111,4.134636140479439,3.678563888888889,1.515311578361318
2013-12-31,7.1,9.3,13.6,2.49871692,-1.3557,51.0,-4.299999999999999,9.226388888888888,4.103334638891908,14.52611111111111,1.4858095970648657,-5.299722222222222,2.90005959161542,1.0140166666666668,4.072105235834933,3.6196972222222223,1.4988203703457887
2014-01-31,22.5,1.2,13.2,2.5,-1.6394,50.5,-12.0,8.895833333333334,3.553717872072252,14.356666666666667,1.1990710690244035,-5.460833333333333,2.6629246810870972,0.811636111111111,4.001234158688881,3.5617199144444447,1.5007448375874566
2014-02-28,3.3,6.9,13.3,2.0,-2.0182,50.2,-6.4,8.551388888888889,3.683311516849851,14.245555555555557,1.1100950910219387,-5.694166666666667,2.856215653122645,0.5815527777777778,3.8929812766410476,3.494717136666667,1.4925561273492642
2014-03-31,5.2,5.4,12.1,2.4,-2.3022,50.3,-6.699999999999999,8.340277777777779,3.5479333913147766,14.178888888888888,1.0921741822824502,-5.838611111111111,2.752030058782862,0.32459722222222226,3.7438951338706885,3.412931025555556,1.4915228915355034
2014-04-30,5.4,5.5,13.2,1.80138144,-2.0042,50.4,-7.699999999999999,8.073611111111113,3.3903536712079227,14.053888888888888,1.064318099006546,-5.980277777777777,2.657238616212707,0.057644444444444436,3.570320247296306,3.3300699144444446,1.4615070652595463
2014-05-31,6.7,5.7,13.4,2.5,-1.4464,50.8,-7.7,7.868055555555555,3.312813926424352,13.995555555555555,1.0515415743276981,-6.1274999999999995,2.5994003429362516,-0.1875,3.39114944179277,3.231658287777778,1.4411465225002507
2014-06-30,5.3,8.9,14.7,2.3,-1.1086,51.0,-5.799999999999999,7.673611111111111,3.2253789613694184,13.948333333333334,1.038618588043013,-6.2747222222222225,2.5314541118959433,-0.4161527777777778,3.17841753927832,3.147919398888889,1.3914296574821894
2014-07-31,5.4,6.7,13.5,2.3,-0.8688,51.7,-6.8,7.5569444444444445,3.0968913624974213,13.915,0.9924212815129922,-6.358055555555556,2.4622333873880056,-0.6447499999999999,2.9050345934994573,3.0352721766666666,1.2843846321608707
2014-08-31,5.6,5.7,12.8,2.0,-1.2038,51.1,-7.1000000000000005,7.420833333333334,3.020864942363366,13.881666666666668,0.985429565504972,-6.460833333333333,2.398754885351973,-0.8783749999999999,2.5435646604575552,2.9199721766666666,1.1480883930429935
2014-09-30,4.2,4.8,12.9,1.6,-1.7996,51.1,-8.100000000000001,7.268055555555555,2.9627967669989967,13.862222222222222,0.99997460285204,-6.594166666666666,2.2918917638367686,-1.1132805555555556,2.127665612801225,2.80465551,1.0150192251075767
2014-10-31,3.8,3.2,12.6,1.60114868,-2.2428,50.8,-9.399999999999999,7.155555555555556,2.977865433440968,13.858333333333333,1.0035294856511778,-6.7027777777777775,2.267218070185957,-1.3444555555555555,1.679137203862987,2.680569398888889,0.867057202550707
2014-11-30,3.5,3.2,12.3,1.4,-2.6928,50.3,-9.100000000000001,7.011111111111111,3.0412194713660337,13.850000000000001,1.012916580967993,-6.838888888888889,2.278254692619857,-1.54575,1.2843067618647086,2.5723957511111113,0.7393667008633467
2014-12-31,2.9,3.2,12.2,1.5,-3.3152,50.1,-9.0,6.883333333333334,3.1031320583289066,13.838888888888889,1.027973812278332,-6.955555555555555,2.2836617768643115,-1.696047222222222,1.0697707932038754,2.49393464,0.7082437192465533
2015-01-31,-17.6,10.6,10.8,0.8,-4.3202,49.8,-0.20000000000000107,6.752777777777778,3.157529424010501,13.8,1.0631489614751086,-7.047222222222222,2.298009835999219,-1.8349527777777779,0.9342253250645951,2.42253464,0.6734868178185748
2015-02-28,17.0,5.6,12.5,1.4,-4.7976,49.9,-6.9,6.961111111111112,3.1570581041558134,13.755555555555555,1.1529947204548305,-6.794444444444444,2.5317350848148577,-1.975366666666667,0.9166827418157505,2.3184096400000005,0.6233099358773208
2015-03-31,6.2,2.9,11.6,1.4,-4.5603,50.1,-8.7,6.997222222222223,3.1330939624878473,13.741666666666667,1.1653019228631087,-6.7444444444444445,2.5107135518976462,-2.1094222222222223,0.966787341695927,2.26948464,0.6243825560637057
2015-04-30,3.7,3.7,10.1,1.5,-4.5725,50.1,-6.3999999999999995,6.955555555555556,3.1782694702301204,13.691666666666666,1.217814201169996,-6.736111111111111,2.503500723590035,-2.227288888888889,1.0001138911651872,2.208773528888889,0.5984749395637974
2015-05-31,1.8,4.7,10.8,1.2,-4.607,50.2,-6.1000000000000005,6.972222222222222,3.158988184404363,13.616666666666667,1.3502380742457023,-6.644444444444445,2.4517567397910964,-2.3349027777777778,1.0385921761104129,2.15695964,0.5758022193907165
2015-06-30,2.9,4.3,11.8,1.4,-4.8135,50.2,-7.500000000000001,7.005555555555556,3.127476796254632,13.549999999999999,1.4283857022126756,-6.544444444444444,2.3963596730331695,-2.424038888888889,1.092211089821992,2.106937417777778,0.5786144049508234
2015-07-31,2.9,6.6,13.3,1.6,-5.3692,50.0,-6.700000000000001,6.994444444444444,3.13659910862928,13.5,1.4577869724835453,-6.5055555555555555,2.3682355631439282,-2.4998500000000003,1.1605365196444946,2.0860929733333333,0.5904003939717669
2015-08-31,1.8,9.3,13.3,2.0,-5.9227,49.7,-4.0,7.05,3.110581020599578,13.483333333333333,1.4565124686827966,-6.433333333333334,2.3197290482172295,-2.5694083333333335,1.2543086463124897,2.0805374177777782,0.59409878832908
2015-09-30,3.7,11.4,13.1,1.59560463,-5.945,49.8,-1.6999999999999993,7.183333333333334,3.101013659158202,13.477777777777778,1.456828475267109,-6.294444444444444,2.3113316439347096,-2.6373055555555553,1.3660944777920572,2.0805374177777782,0.59409878832908
2015-10-31,3.8,14.0,13.5,1.3,-5.9,49.8,0.5,7.297222222222222,3.17971122777895,13.430555555555555,1.440202256519001,-6.133333333333334,2.4242819260850865,-2.703708333333333,1.466369231688541,2.0720819908333334,0.5988884994464718
2015-11-30,3.2,15.7,13.7,1.5,-5.9,49.6,2.0,7.516666666666666,3.3620996840834914,13.413888888888888,1.435698491581725,-5.897222222222222,2.6414807655783896,-2.7910472222222222,1.560195145941885,2.060970879722222,0.6096036502783909
2015-12-31,4.9,15.2,13.3,1.6,-5.9,49.7,1.8999999999999986,7.800000000000001,3.6080861567160145,13.408333333333335,1.434149822816848,-5.608333333333333,2.9145325525716745,-2.893838888888889,1.6399702955981945,2.047081990833333,0.6166871816505543
2016-01-31,15.1,18.6,14.0,1.8,-5.3,49.4,4.600000000000001,8.041666666666666,3.8045367654945887,13.394444444444444,1.4326687274243004,-5.352777777777778,3.155356996882879,-3.003847222222222,1.7056506724056257,2.022081990833333,0.616043954459736
2016-02-29,-4.8,17.4,13.3,2.3,-4.9,49.0,4.099999999999998,8.133333333333333,4.018173003457456,13.341666666666665,1.3714174106688288,-5.208333333333333,3.4813277434253185,-3.105591666666667,1.7308583417112486,2.0165264352777776,0.6171496014314716
2016-03-31,4.4,22.1,13.4,2.3,-4.3,50.2,8.700000000000001,8.352777777777778,4.300729912209996,13.288888888888888,1.3339046395081875,-4.936111111111112,3.8094733627612185,-3.196552777777778,1.7368818004830355,1.991526435277778,0.5852429203244421
2016-04-30,6.0,22.9,12.8,2.3,-3.4,50.1,10.099999999999998,8.636111111111111,4.84291251080397,13.225000000000001,1.2686044075506842,-4.588888888888889,4.434396578551921,-3.2626916666666665,1.7321705754630474,1.9970819908333333,0.5872478904036457
2016-05-31,6.3,23.7,11.8,2.0,-2.8,50.1,11.899999999999999,8.941666666666668,5.372755345258151,13.133333333333333,1.1703479336138307,-4.191666666666666,5.0657604139387145,-3.2844277777777777,1.7287492949877434,1.9943042130555557,0.5855215401140256
