,date,series,value,score,method,M1_YoY,M2_YoY,M1_M2_scissors,PPI_YoY,CPI_YoY,n_methods
288,2024-09-30,M1_YoY,-7.4,-2.714801368722766,zscore,,,,,,2
289,2024-09-30,M1_YoY,-7.4,-10.430432813111752,stl,,,,,,2
290,2024-10-31,M1_M2_scissors,-13.6,-8.496203424320733,stl,,,,,,1
291,2024-10-31,M1_YoY,-6.1,-8.138708287812012,stl,,,,,,1
292,2024-11-30,M1_M2_scissors,-10.8,-4.3498583147865295,stl,,,,,,1
293,2024-11-30,M1_YoY,-3.7,-4.386826278714334,stl,,,,,,1
294,2025-02-28,CPI_YoY,-0.7,-3.9271355587582337,stl,,,,,,1
295,2025-05-31,PPI_YoY,-3.3,-4.52171278156765,stl,,,,,,1
296,2025-06-30,M1_YoY,4.6,3.7563470369803156,stl,,,,,,1
297,2025-06-30,PPI_YoY,-3.6,-5.235353007000134,stl,,,,,,1
298,2025-07-31,M1_YoY,5.6,4.902430673884473,stl,,,,,,1
299,2025-07-31,M2_YoY,8.8,4.667751123330362,stl,,,,,,1
300,2025-07-31,PPI_YoY,-3.6,-4.530816007731275,stl,,,,,,1
301,2025-08-31,M1_YoY,6.0,5.0035547374765965,stl,,,,,,1
302,2025-08-31,M2_YoY,8.8,4.7380890700550635,stl,,,,,,1
303,2026-02-28,CPI_YoY,1.3,2.845611943216944,zscore,,,,,,1
304,2026-03-31,PPI_YoY,0.5,3.182111704773628,zscore,,,,,,1
305,2026-04-30,PPI_YoY,2.8,4.813845268941233,zscore,,,,,,1
306,2026-05-31,PPI_YoY,3.9,4.452294943007879,zscore,,,,,,1
307,2026-06-30,PPI_YoY,4.1,3.6586112265646467,zscore,,,,,,1
308,2026-07-31,PPI_YoY,3.5,2.816681322459044,zscore,,,,,,1
309,2026-08-31,PPI_YoY,3.8,2.652942209117543,zscore,,,,,,1
